,video_id,comments
0,_lpfFbYnbOM,"['Finally saying something', 'I dont know', 'Nice', '😢😢😢😢']"
1,NAW3bdt3xh8,"['You could easily make all of these crafts from stuff in a junkyard', 'Hello friends, I’m gaymer, but I don’t support me. Please support me. You are all hearts ❤️🌹', 'Ooooooooopooooooooooooooo', 'Msh', 'ania', 'Very nice ❤😊', 'Hello😊 Nice Lifehacks😊', 'Wow 😮😊❤', 'Bad ideas 🤣', 'Are you blink or army?']"
2,fgUr6kfnv9c,"['Hello friends, I’m gaymer, but I don’t support me. Please support me. You are all hearts ❤️🌹', 'یۆزینینسنرنقنس', 'Very nice ❤', 'Supper good👍👍👍👍👍👍👍❤❤❤❤❤❤❤❤💡', 'who thinks 5 minutes crafts is overrated \n\n👇', 'Seventh', 'Amazing!', 'i liked my own comment becuz nobody wants to :}', 'Fourth comment', 'Amazing ideas']"
3,B_x5rqgxqmc,"[""🌟✂️ 5-Minute Crafts Historic Event! ✂️🌟\r\n🛒 Neptune City Walmart | 🗓️ 18-19 Nov | ⏰ Stay tuned for time!\r\n✨ Prizes for All! 🎁 Join us and be a crafting star! 🌟\r\nCan't make it? 😢 Watch our LIVE STREAM! 🌎✨"", 'ju\u2006llian\u2006l', 'Ur my favourite yt', 'Smart l, keep safe, and God, bless you, always, I do DIY and recycling, friend from Philippines', 'Your the best ❤', '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤']"
4,tyLhe5QnebM,"['i love this video so much ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻❤❤❤❤❤❤❤❤❤❤❤😻❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😻😻😻😻😻❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😻😻❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😻😻😻😻😻😻😻❤❤❤❤❤❤♥♥♥♥♥♥♥♥♥♥♥❤❤❤❤❤❤❤❤❤❤❤♥🧡🧡♥♥♥♥♥♥♥♥❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Nice🎉🎉🎉', 'kakki', 'I kinda wished you guys kept the old intro', '""five minute""', '❤', 'Super 👀😀❤️', 'I played this during my dentist appointment. No cavities this time', '🤤😀Popcorn!!!', '😂']"
5,N0AHOkrpQeI,"['Lamest Christmas ever', 'The skirt will be in the floor 😭', 'U just jump and see down what it is 😅😂', '🤦🏼\u200d♀️👎🏻👎🏻👎🏻👎🏻👎🏻a verry big 💩🤣', 'За сколько прадаш❤', 'I like raccoons', 'Now this is what you call a good quality ad💀']"
6,bAUY3X-0TeQ,"[""Hey! Have you noticed our Cockroach Man at 08:06? Isn't he hilarious? 😂🪳"", 'So useful!! I’ll definitely do the deodorant and all the other ones!! 💀💀', 'https://youtube.com/shorts/r4Ava2fC2Ek?si=URZwa3ijWFcNYxiB', 'Khabi Lame need to watch this sh*t', '28:02 wow', 'Roach man', '❤', '🏀🏉🏈🏐🥎⚾️⚽️', 'Hsuwiw', 'Xnsyje']"
7,WY6amMtueow,"['Hi everyone! 🙋\u200d♀🙋\u200d♂Thank you for your kind comments, they mean a world to us! 💗💗 By the way, which crafts do you like more: epoxy or clay? 😀', '🥰😍👍👍😊', 'So beautiful ❤️😊❤', 'This is my favourite ❤', 'Hello friends, I’m gaymer, but I don’t support me. Please support me. You are all hearts ❤️🌹', 'Good crafts ❤❤❤', 'I reyle love your videos soooooooooo much very very❤🥰💞💋💋💋💋💝💌💖', 'So nice video ♥️', 'Great video guys ❤😊❤', 'Excellent DIY💖😘']"
8,rEYnvKQ9QBs,"['Hey everyone, which do you prefer: creating DIY crafts or purchasing gadgets from stores? 🤑', 'Ok but like why are half of them just using cool gadget things, like give me some HACKS! That one thing that make those donuts, i want it so bad now cuz I would use it so often you dont understand', 'https://youtu.be/NqSYSQANY94?si=BQIyy8NOJ1FcMp6h', '👮\u200d♀️ 🚔 🚓 👮\u200d♀️ 🚔 🚓 👮\u200d♀️ 🚔', '^_^FEDEX ^_^', 'Freshhhhhhhhhhhh! 😅😅😅😅😅😅', 'Floopy penguin 🐧 😂', '197', '1 2 3 4', 'Hrhy']"
9,660xRvuCYic,"[""Hey everyone, do you have any unique drawing tricks or hacks up your sleeve? Describe them to us, and we'll feature them in our upcoming videos! 🌈 Oh, and don't forget to get our Craft Supplies Kit  ➡ https://bit.ly/walmart-complete-kit-yt"", 'What is craft ? 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂', 'A duck with theet 😅😂', 'https://www.youtube.com/shorts/UgXQ4Gf-4n8', 'https://www.youtube.com/watch?v=HY8hfytBtLA', 'https://www.youtube.com/@luelsa_artandcraft', 'Early', 'Thanks for the awesome video ❤😊❤', 'Very sexy', 'Thank you ❤']"
10,ULYvY3iIQ0o,"[""🌟✂️ 5-Minute Crafts Historic Event! ✂️🌟 \r\n🛒 Neptune City Walmart | 🗓️ 18-19 Nov | \r\n⏰ Stay tuned for time! ✨Prizes for All! 🎁\r\n Join us and be a crafting star! 🌟 \r\nCan't make it? 😢Watch our LIVESTREAM! 🌎✨ #5MinuteCraftsWalmart #5mckits 💖"", '😂', 'I have that😊', ""I haven't"", 'Hiii', '😊😊', 'Hi', ',', 'I think now a days five minutes craft not producing good quality and quantity video or short.i am disappointed', ""They found willy walmart's golden ticket 💀""]"
11,ThX575erUUY,"[""What's your favorite subject in school?🤓"", 'Oliler Jean Marie 🐱+🔵=oggy', 'Fsdgh', 'Drgdg', 'Yrrfu', '🌸+⭐-♥️:9', '1:38 = 9', 'why did i click on this, mf was chewing clay at the start', 'She can use a penstand!!!. From where did the brush come in school 😅', 'I am 15 and I am  watching  this video because of my little sister 😅😅😅😅😂']"
12,6bNJnj15BOE,"[""What's your favorite eccentric shoe concept? Share it with us in the comments! 👠🤪"", '5 minutes craft uses to be really 5 minutes and very useful for real life! But now they are just creating videos that is neither 5 minutes nor useful! \nBIG DISLIKE!', 'This has got to be a joke.', 'Some of this shoes are horrible', 'What in the actual f*** is this? Just NO!😂', 'Nice❤❤❤❤', 'This... this is just a joke.', 'Uh...5 minute crafts?   dont think so', 'Thank God! YouTube has dislike button', '😂😂😂😂']"
13,rmbR8L-Ml4s,"['https://www.youtube.com/shorts/UgXQ4Gf-4n8', 'Did you know that the oldest know bracelet was made from grass??', 'https://youtube.com/shorts/r4Ava2fC2Ek?si=sSzgQnwi1mj22kM4', '0:41 is amazing', 'Nice', 'Thanks', 'I think I like 123 go More sorry', 'Best Crafts your channel', '❤😂', ""That's incredible 😀❤️""]"
14,eaTrdCICsa0,"['COTH', 'Ccd', 'I SWEAR These are so fake 💀  look at 6:39 when he was wiping the microwave the clip was clearly cut 💀 can’t even edit rught', 'Who is old 5 minute crafts😐☹️\n👇', 'Honestly, I am going through a very hard time rn and this video helped me a lot. Especially at 6:08 my friend always does this and I never knew how to cope w it but now i know', 'I love the song!', 'https://youtube.com/shorts/jbvhkDxS4pY?si=yaYOjGqPcX9BxYgM😱😱😱😱😱😱', 'It was awesome 👀😃❤️', 'Cool', '100likes 😊']"
15,HWgE_k_JJ-c,"['Did you know that one million water bottles are produced every minute? 😮', 'Amei o canal ♥', 'Any videos on how to make a DIY portable explosive device in just 5 minutes?', 'Wow', 'Is no one being rude to 5 minute crafts anymore? 💀', 'Wao it magical', 'Yes❤The video is great.❤❤❤', 'G-bros better', 'Super. Good gob guys ❤', 'Hola 😊❤']"
