,video_id,comments
0,RKT7xqPDy74,"['mala decisión', '🤣🤣no lo se ...POR DIVERSION🤣🤣🤣🤣🤣🎉🎉🎉🎉🧧🧧🧧🧧🎃🎃🎃🎃🎃', '😂😂', '😂😂😂😅😅', 'Мистер бист я нашел вашу копию', 'أريدك أن ترتدي ملابس جميله انيقه بشكل غير طبيعي', '*Me walking in for an interview*', 'Pero el acepto, dijo si con su el movimiento de su cabeza 😂😊', 'Mr beat car gift plez 😢', 'He thought about it']"
1,SHOV58tdNiI,"['Pora', '🤣🤣🤣🤣🤣🤣👍👑🌻', 'Porra 😔', '🎉🎉🎉🎉🎉😂oi', '🤣😂🤣😃😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂😂🤣😂😂🤣😂🤣😂🤣😂🤣🤣😂🤣😂🤣😂😂🤣😂🤣', 'Hola mr beas', 'QUEEEEEEEEEEEEEEE MIEDRA', 'What', 'hahaha muito bom😂', 'Con el doblaje se pierde el chiste']"
2,SGzWIoLAzmY,"['""mas vc e minha família 😢"" q dooooooooo aaaaaaaaa ❤', 'syo  poree', 'Yes', 'cat is odd eye!!!', 'Kedi az önce benim hayatım boyunca calışıp kazanmmam gereken parayı yedi', 'Она такая милая ❤', 'Дорогие кошки😂😂', 'Não tenho nem mil 😂', 'That cat was so dangerous', 'Cute']"
3,sHX6pzhdCP0,"['Check my map, skins, and emotes out :^)\nhttps://stumbleguys.onelink.me/Zh4x/MrBeastYTShorts', 'Мистер Бист Зачем снимать по английскому языку Если ты почти во всех видео по-русски разговариваешь', 'you are really gonna lost money of your doing 😑😑😞😶', 'Seriously', 'Jimmy Jimmy Jimmy', 'Jimmy, You will give opportunities to Bangladeshi citizens to face your challenges ???', 'Jimmy didn’t know stumble guys is a knock off fallguys game', ""lütfen mcdonals cola ve burgerking'in yemekleriniden satın almayınız flistinli çocuklara ölüm olarak gitmektedir saygı duyduğunuz için teşekürler."", '😊😊😊😊', 'No saben acletismo jaj']"
4,ykRq_rp7NhM,"['Imaging feature', 'Ора  Мр бист кудасай ахахахахааххаахх😂😂', '❤😊j🎉', '😍❤️', 'You really talk Spanish mr beast ❤', 'Yêu❤❤❤❤❤❤❤❤❤❤', 'Lo bueno de todo es que en el doblaje en español tambirn realizo una buena elccion de voces a cargo de actores de doblaje profesionales. 😊', 'Legal de mais', 'Datebayó Naruto cun', 'Joder que épico']"
5,9fNNhWH-P2E,"['El que hizo el doblaje a bayashi:\n\nDinero free 😎🤙', 'Oye me servís yo soy', '내가', 'Everyon3 ingoring the fact they almost ate plastic wrapper huh°▪︎°', 'Você merece mas de 100mi de inscritos mt beast😄', 'Mr beast🎉🎉🎉🎉😅', 'Eggs + mayo + eggs + cheese. Could have gone with a little less eggs tbh 😂 and what’s with the plastic? Why wrap it and than eat immediately afterwards? Makes no sense', 'áđù ông lồng tiếng hả😍🤐😐', '❤❤chú dít tơ dít giề việt nam', 'So ovo']"
6,on94ouT1TQI,"['M', 'Omad .UZBEKISTONDAN', 'nolan', '🎉🎉🎉🎉🎉', 'aqui e u brazuca', 'Jimmy.  Wow', 'Кто последний убежит тот станет девушкой!\nКрис: :)', 'Это Торик уминя переведено на русский мне 9 лет', 'How much money you have now', 'Dude why is there a trans creature ...']"
7,sHdOH5VTkCg,"['Kimi yo quiero probarlos vivo en CostaRica de sanjuaquin de flores', 'Better than the Star Wars Sequels.', 'xxx', 'Gostaria de ganhar uma casa❤🙏', 'Ohh this is good?', 'He should have said, what in the moon instead😂', 'Bro has better animation budget than NASA', 'bro almost said the s word', 'Noob', 'Oh they learnt this from NASA definitely 😂😂🎉']"
8,j3-38Dh-83w,"['Gostaria de ganhar uma casa❤🙏', 'La chance de voir adam sendler', 'Woow', 'Adam es mi actor favorito', 'Yo menos eh salido de mi país 😢', 'Mano eu vi ali o murder mystery 2 isso é literalmente um jogo do roblox', 'Adam mi religión xd lit', 'Jajajaja por qué siempre billetes de un dólar', '🎉 \nM', 'Ojalá fuera cierto😢']"
9,NPYPXWJBTWM,"['😂😅', 'Team ""Thin Mints""✋', 'Ты такой добрый', 'Gostaria de ganhar uma casa❤🙏', '😮😮', 'It has to happen', 'Finments are the best', 'Bro donated 9995', 'yo quiero', 'xd']"
10,mRE0AXwFL3Y,"['Ligma', 'Jimmy mrbeans', 'Gostaria de ganhar uma casa❤🙏', 'Mistırbin', 'Mmmm. ..... no...... mejor as el de Ricky limón 🍋', '50,000/1', '😂', '😂', 'Jimmy❤😊', '\U0001fae0']"
11,wWoTXm9rBzo,"['Gostaria de ganhar uma casa❤🙏', '👍👍👍👍👍👍👍👍', 'He didnt need the money,he just wanted skydiving😅', 'Son name?', 'Agree its best chocolate bar\n↓', '❤👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🎉', 'Bro also got a free snack W', 'on god', 'that no was personal', '😥']"
